labels,pos_tag,text
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,神秘得像有一层白色的雾或薄纱始终笼罩着的月光，冰冷地瞧着流逝的岁月。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,也许是因为妈妈真的老了，她的行动变的不是那么利索，她的身子也不像以前那么硬朗了。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,因为在我走过的这些年里，从来没有一个老师像这样真诚地向她的学生道歉。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,眼前的长空似乎那么美丽妖娆，有银河的传说，散发点点星光，哪像有现在这样，困难，迷茫。
0,OOOOOOOOOOOOOOOOOOOOOOOOO,岁月总是偏离它应有的轨道，就像某些有失公平的意义。
0,OOOOOOOOOOOOOOOOOOOOOOOOO,狮子消失后，我仿佛看见一个人的头形，那像我的爷爷。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,但是，我希望更多人能保护好自己的眼睛，不会像我这样那就请让我给你们出金点子吧！
1,tOOOOOOOOOOvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,她蹦蹦跳跳地像只漂亮地蝴蝶一样地走了，而我也感到很舒服，心情也倍儿好，我终于有“家”了。
0,OOOOOOOOOOOOOOOOOOOOOO,我像吞温开水一样静静地享受所有的关心与温暖。
1,OOOOOOOOOttOOOOOOvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,曾看到过这样一段话寂寞像四月落下的雪花，有十六个菱角，你说美不美丽．它们是这样落寞而优雅．寂寞落下了，就不见了．有人不相信，可是它真的真的是存在过的．有很多孩子为它哭泣，为它不知所措．有很多孩子开始写字，只是为了记下很寂寞很寂寞的青春．他们并不是没有人陪伴，只是期待成长的灵魂渗透出冰冷的忧伤，是灵魂躺寂寞，需要倾诉和告白．我想自己之所以会喜欢上写字，也许是自己的青春真的太寂寞了吧！
0,OOOOOOOOOOOOOOOOOOOOOOOO,我觉得做人，就要像桃子那样，乐于为人民奉献一切。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,我一直挺立在草地上，现在，又仿佛像一个老人，没有人记得我，忽略我的存在。
1,tOOOOOvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,您的可爱就像太阳一样，就算在病床上，您依旧温暖动人，谢谢您，给我快乐，让我乐观。
0,OOOOOOOOOOOOOOOOO,今天下午，我们像往常一样，在上课。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,开始检录时，我更紧张了，牙齿格格作响，见了好朋友就紧紧地抱着，真有点像神经病。
1,ttOOOOOOOOOOvvOOOOO,我们只好呼朋唤友，像一群老鼠绕来绕去。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,我满心欢喜的跑过去，从一大堆花花绿绿的书中一眼就看到了它——《小公主和矮爸爸》我顿时像得到心仪玩具的孩子，欢天喜地地躲回了我的小房间。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,四肢也是黑黑的，衬着一身雪白的裘皮大衣，像穿戴着光滑油亮的黑手套、黑皮靴。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOO,只有像小兽一样躲到一个偏僻的角落，独自舔着生疼的伤口。
1,ttOOOOOOOOOOOOOOOvvOOOOOOOOOOO,一切都是那样纯粹，就像掩于叶间的小青果，若隐若现着那份天真。
1,OOOtOOOOOOOOOOOOvvOOOOOOOOOOOOOOOO,这两朵云，前一朵那么像一只狡猾的狐狸，尾随在后的不正是凶恶的老虎吗？
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,其中有两次不知谁叫了声地震来了，号召力之大，所有人都在往外冲，但毕竟是小余震，像飞鸟飞过没留下什么痕迹。
1,OOOOOOOttOOOOOOOOOvvvOOOOOOOOOOOOOOOOOOOOOOOOO,抬头望望天空，天空瓦蓝得像一块巨大的蓝宝石，蓝宝石上几朵白云悠悠地飘着，不时飞过来几只小鸟。
1,OOttOOOOOOvvOOOOOOOO,"""那叶子像张开手指的手掌掌上经脉分明。"""
1,OOOOOOOOOOttOOOvvvOOOOOO,忽然一阵微风吹过来，菊花像一个美少女在翩翩起舞。
1,ttOOvvvvOOOOOOOOOOOOOOOOOOOOOOOOO,他们就像钢铁长城，一直被人们视为国防的象征，这不正是雷锋的传人吗？
1,OOOttOOOOOOOvvO,一片片树叶就像仙女撒下的花朵。
0,OOOOOOOOOOOOOOOOOOOOOOOO,一阵微风拂过，她像受到了母亲甜蜜的吻，让人寻味。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,落叶像被秋姑娘亲了亲嘴，变成了一枚枚金币，漫天飞舞，秋天跟小草亲亲嘴，小草害羞的换上了黄披巾，真是秋高气爽！
1,OOOOOOOOOOOOOOttOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,雾，是这其中最静的一个，她的性格就像雾一般，在远处你不能了解，这薄薄的白纱后面是怎样的，只有当你走近，并身临其境才能清楚她的美。
0,OOOOOOOOOOOOOOOOOOOO,小男孩听了这些话就像大热天吃了个冰淇淋。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,不过这个时候，我突然像恍然大悟一样觉得我确实已经得罪了她，因为从那件事发生至于发短信给她大约已经有两天半的时间了。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,，书中的人物都活生生地展现在我的面前，战斗场面也非常详细，腾云驾雾，刀光剑影都十分精彩，给我的气氛不像是在看书，而是在看一部惊心动魄的电影。
1,OOOOOOOOOOtttOOOOOOOOOOOOOOOOvvOOOOOOOOOOO,刚才还迷蒙在露水中的塘猛岭，现在，云收雾散，她像一位美丽的少女，徐徐揭开了她的面纱。
1,tOOOOOOOvvvOOOOOOOOOOOOOOOOOOOOOO,Z就像这束飘香的栀子花一样，时时以自己的快乐感染着身边的每一个人。
1,tOOOOOOOOOOOOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,我很渺小，就像宇宙中的一颗小星，既没有美丽的光彩，也没有华丽的修饰，但是，我有一颗燃烧着的心。
1,OOOOOOttOvvOOOOOO,然而在晚上，寂寞像空气般绕在身边。
